lat_idx,lon_idx,lat,lon,EPHI_p1,EPHI_p2,EPHI_change,EPHI_change_pct
11,215,52.25,123.75,0.2155141219630677,0.21778184702275552,0.0022677250596878085,1.0522396579080904
11,216,52.25,124.0,0.19873224536129613,0.1989805207961568,0.0002482754348606675,0.12492961794363146
11,217,52.25,124.25,0.19022113973022794,0.18987665593229108,-0.000344483797936862,-0.18109648508331394
11,218,52.25,124.5,0.1968810739655194,0.19644683588669432,-0.0004342380788250888,-0.22055856872313626
11,219,52.25,124.75,0.20275629179740892,0.2098173403557586,0.007061048558349686,3.4825299356949087
11,220,52.25,125.0,0.20562342115370663,0.213998787400672,0.00837536624696536,4.0731577171379945
11,221,52.25,125.25,0.21465779715146965,0.22205800259996655,0.007400205448496899,3.447443114901188
11,222,52.25,125.5,0.2049686823548741,0.20699990784518568,0.0020312254903115945,0.9909930956158546
11,223,52.25,125.75,0.1919470574137112,0.18937970034459362,-0.002567357069117593,-1.33753395530522
11,224,52.25,126.0,0.17258730659511318,0.17034003126464395,-0.0022472753304692283,-1.302109277214284
11,225,52.25,126.25,0.19984498327821523,0.19775541533017402,-0.0020895679480412155,-1.045594397099382
12,203,52.0,120.75,0.18123094912643256,0.18940436912951203,0.008173420003079468,4.509947137879538
12,204,52.0,121.0,0.19266524092182882,0.1996682566924778,0.00700301577064899,3.6348101697754416
12,205,52.0,121.25,0.19554785583028256,0.20282598449798234,0.007278128667699779,3.7219168866860506
12,206,52.0,121.5,0.19793076929195003,0.20377323140127707,0.00584246210932704,2.9517705257383935
12,207,52.0,121.75,0.18089563915042572,0.1872997927622479,0.006404153611822172,3.5402476488096704
12,208,52.0,122.0,0.1972265504839139,0.20363390046289032,0.006407349978976407,3.2487258755250603
12,209,52.0,122.25,0.19283632885520657,0.19769528722126195,0.004858958366055377,2.519731834193848
12,210,52.0,122.5,0.1897878669195073,0.19080393834121548,0.0010160714217081757,0.5353721700972124
12,211,52.0,122.75,0.184908785294677,0.18577445507377313,0.0008656697790961343,0.468160437978419
12,212,52.0,123.0,0.19904208533871393,0.2019687600632764,0.0029266747245624836,1.4703798543821032
12,213,52.0,123.25,0.20625834137176377,0.21086796216449574,0.004609620792731972,2.234877271908004
12,214,52.0,123.5,0.21787547285213466,0.22164058386896193,0.0037651110168272772,1.728102281335055
12,215,52.0,123.75,0.20088103970018018,0.20426628745613368,0.003385247755953502,1.6852002364215488
12,216,52.0,124.0,0.20634787538244712,0.2073665282467499,0.001018652864302777,0.493658033752369
12,217,52.0,124.25,0.20875102892391878,0.20768970688351152,-0.0010613220404072643,-0.5084152379407302
12,218,52.0,124.5,0.1994271203630207,0.19952171890925868,9.459854623797281e-05,0.04743514626585061
12,219,52.0,124.75,0.19092575601247147,0.19717623416542313,0.006250478152951655,3.2737742060025505
12,220,52.0,125.0,0.19943967725948647,0.21031504079857632,0.010875363539089855,5.452958853789241
12,221,52.0,125.25,0.20635908930518682,0.21540823207921678,0.009049142774029961,4.3851437823739765
12,222,52.0,125.5,0.1966319314475446,0.20086642775293895,0.004234496305394353,2.153514067741326
12,223,52.0,125.75,0.21177318474289578,0.2093260051926784,-0.0024471795502173654,-1.1555662975878533
12,224,52.0,126.0,0.20157219328826464,0.19614210092611706,-0.005430092362147587,-2.693869761283052
12,225,52.0,126.25,0.17459421568243638,0.17276105759077215,-0.0018331580916642332,-1.049953507622786
13,202,51.75,120.5,0.17393743133264442,0.17524970439518875,0.0013122730625443335,0.7544512141464788
13,203,51.75,120.75,0.17902690175186747,0.18486453432750236,0.005837632575634882,3.2607571926401775
